HIP,Name,RA_deg,Dec_deg,Magnitude
87009,,266.67939,-25.754908,9.09
87095,,266.933475,29.329489,8.8
109077,,331.45062,-18.6682,7.64
109084,,331.46376000000004,-11.914172,10.12
109089,,331.47072,33.506886,8.47
109098,,331.49643,-58.8278,9.16
109100,,331.50502500000005,-34.399711,8.45
109099,,331.505205,20.803429,7.58
109118,,331.54623000000004,-55.993322,9.95
109123,,331.55556,31.119825,8.47
109146,,331.64088,57.199949,8.9
109151,,331.64585999999997,-31.569485,8.19
109160,,331.67457,16.749601,7.79
87104,,266.96478,-44.543622,8.29
109181,,331.760625,11.767668,6.83
87116,,266.98989,-34.018873,7.2
109193,,331.801725,52.635684,8.73
87118,,266.994,39.98081,7.61
109198,,331.811595,-74.086256,9.01
87132,,267.042645,6.271521,9.27
109201,,331.82545500000003,-10.446872,6.87
87177,,267.16161,-10.274009,8.31
109212,,331.87485,18.000709,6.31
87256,,267.44086500000003,-10.474947,8.97
87261,,267.464475,-37.043304,3.19
87402,,267.91968,-12.475984,10.36
87414,,267.96576000000005,-84.111154,7.63
87431,,268.001205,31.120397,8.29
87463,,268.06638000000004,38.684892,8.17
87479,,268.10663999999997,11.99137,8.39
87487,,268.13730000000004,14.030948,11.87
87499,,268.16973,19.659679,9.8
87510,,268.19235000000003,-55.382409,11.95
87536,,268.24744499999997,-2.257444,8.31
109417,,332.516745,44.181269,9.52
87540,,268.26473999999996,-10.899562,6.17
87541,,268.26700500000004,77.383967,9.28
87547,,268.283295,-66.743343,9.09
87556,,268.303065,43.773099,10.16
87575,,268.361445,-50.888557,8.78
87593,,268.40077499999995,24.777223,7.59
87614,,268.47132,49.803367,10.94
87619,,268.48086,-58.272595,7.56
109625,,333.108345,-48.295632,9.27
87682,,268.63185,23.232298,8.56
109629,,333.12066000000004,76.461883,6.93
87685,,268.643055,24.270671,8.44
109630,,333.120915,45.571871,9.26
109642,,333.16022999999996,-54.290843,7.73
87693,,268.680165,20.271232,9.77
109656,,333.21174,-10.925379,10.71
87712,,268.750845,-22.981133,8.46
109664,,333.229875,30.366569,9.41
109666,,333.23406,-55.945001,7.2
87733,,268.81626,-30.601034,8.32
109682,,333.27426,-59.691694,7.72
87759,,268.900605,25.131759,8.1
109693,,333.29251500000004,86.107955,5.27
109703,,333.32135999999997,10.848459,8.24
87783,,268.97920500000004,-72.691142,9.64
109709,,333.33459,0.242319,7.58
87788,,268.993605,-16.409106,11.3
109714,,333.34953,39.228036,8.08
87798,,269.032815,-35.048904,6.74
109715,,333.353265,-26.529471,12.14
87806,,269.05686000000003,6.773096,8.91
109719,,333.35904,24.026577,7.89
109731,,333.41524499999997,-27.459184,8.88
87838,,269.17740000000003,29.49153,9.86
109744,,333.45318000000003,-28.668048,9.54
87854,,269.211855,-39.932733,7.28
109753,,333.46881,-22.264462,8.54
109761,,333.47628,-4.644235,8.68
87868,,269.23449,-63.112656,8.81
109767,,333.504315,57.120076,9.84
87879,,269.27931,-13.653238,7.54
109789,,333.57813,-27.766908,5.45
109807,,333.611445,2.7067,10.4
87931,,269.436435,-83.235629,7.2
109826,,333.665745,-30.684314,9.2
109831,,333.68484,42.95391,5.72
87946,,269.487195,4.247794,10.64
109838,,333.69651,-24.004703,6.89
109853,,333.73515,61.709542,8.68
109855,,333.7476,-52.196526,7.86
109856,,333.753315,61.692331,8.18
109862,,333.76464000000004,43.773335,6.82
109865,,333.769365,-55.514442,8.52
87973,,269.545305,-37.337636,7.65
87989,,269.601855,7.503504,10.27
88012,,269.66271,-28.759089,5.99
88032,,269.72128499999997,-3.514822,9.17
109974,,334.114095,47.975721,8.83
88039,,269.732535,-22.38433,8.8
109989,,334.15131,42.839851,8.71
88040,,269.738565,-22.517549,7.0
109992,,334.16784,22.896081,6.92
109995,,334.17837000000003,-10.51851,8.79
88044,,269.742675,-50.555525,10.15
109996,,334.18356,55.477169,9.37
88046,,269.74977,49.261044,8.13
110016,,334.238205,74.106539,8.83
88068,,269.79963,56.748167,8.79
110020,,334.24986,53.65027,8.59
110023,,334.277085,-5.387164,5.75
88097,,269.888445,79.807618,8.31
110035,,334.313055,12.89849,7.04
88105,,269.908665,-67.194803,9.01
110040,,334.33383,22.011145,7.93
110041,,334.333845,24.811344,8.65
88127,,270.01416,80.000841,6.11
110061,,334.382295,-36.309209,9.96
88152,,270.06741,-47.553828,6.7
88155,,270.07815000000005,52.854446,7.72
88199,,270.17628,17.166709,7.66
110094,,334.526835,61.134437,8.59
110106,,334.55497499999996,-3.172178,11.2
88230,,270.262515,-39.105811,9.23
110142,,334.65694499999995,52.65604,7.29
88243,,270.29244,39.028527,8.55
110148,,334.6689,-46.137141,7.53
110159,,334.696005,19.96214,6.86
88260,,270.35271,30.645294,7.11
110179,,334.75308,-13.304995,5.96
88276,,270.39657,-30.811997,10.83
88290,,270.43833,1.305076,4.42
88312,,270.541125,-36.359243,7.42
88318,,270.548445,-52.957052,7.96
88321,,270.564975,43.98144,8.59
88323,,270.56976000000003,51.638785,7.43
88346,,270.625635,22.92323,6.22
88353,,270.638265,4.418493,8.95
88354,,270.63860999999997,-27.779689,9.85
88355,,270.64095,3.420396,8.1
88359,,270.653325,16.134563,8.45
88364,,270.65814,-50.212249,12.06
88366,,270.66672,34.963546,8.62
88376,,270.69774,-1.336384,7.97
88384,,270.72624,-27.826669,6.69
88406,,270.77292,52.603288,8.86
88416,,270.787365,52.861286,8.85
88419,,270.79402500000003,-63.244858,8.87
110293,,335.10456,22.227961,9.81
88425,,270.801375,-58.935526,9.01
110305,,335.12997,35.114734,7.48
110319,,335.16981,0.546585,8.37
88453,,270.884175,-77.270729,8.66
88490,,271.035825,71.130839,9.38
60190,,185.14182,1.514783,9.69
88497,,271.06807499999996,67.422354,8.71
60199,,185.17453500000002,-20.227272,8.92
88499,,271.07325,35.957158,10.83
60216,,185.220945,-56.048614,8.62
88505,,271.090845,50.799854,8.74
60242,,185.29281,31.302169,8.68
88538,,271.189695,-80.628992,8.94
60248,,185.305755,-9.549255,7.66
